index,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
1165,F,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
1166,I,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8
1167,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
1168,F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
1169,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
1170,M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,11
1171,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
1172,F,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,9
1173,I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
1174,M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445,11
1175,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
1176,I,0.55,0.425,0.15,0.639,0.269,0.1345,0.217,9
1177,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
1178,F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
1179,M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
1180,I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
1181,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6
1182,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12
1183,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
1184,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
1185,I,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085,10
1186,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
1187,I,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
1188,F,0.515,0.4,0.17,0.796,0.258,0.1755,0.28,16
1189,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
1190,I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
1191,F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13
1192,F,0.435,0.335,0.11,0.38,0.1695,0.086,0.11,9
1193,M,0.59,0.405,0.15,0.853,0.326,0.2615,0.245,9
1194,M,0.695,0.55,0.22,1.5515,0.566,0.3835,0.445,13
1195,I,0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10
1196,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7
1197,F,0.605,0.515,0.17,1.289,0.6,0.2945,0.3315,9
1198,M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
1199,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
1200,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
1201,F,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10
1202,M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9
1203,F,0.55,0.435,0.17,0.884,0.2875,0.1645,0.28,14
1204,M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
1205,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
1206,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
1207,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9
1208,I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6
1209,I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6
1210,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
1211,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
1212,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9
1213,M,0.49,0.39,0.135,0.592,0.242,0.096,0.1835,15
1214,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
1215,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
1216,F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
1217,F,0.47,0.375,0.125,0.5615,0.252,0.137,0.18,10
1218,I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
1219,F,0.61,0.45,0.16,1.136,0.414,0.311,0.3,9
1220,I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8
1221,I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6
1222,F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
1223,I,0.54,0.4,0.145,0.757,0.315,0.181,0.215,11
1224,F,0.67,0.545,0.16,1.5415,0.5985,0.2565,0.495,15
1225,I,0.335,0.25,0.08,0.1695,0.0695,0.044,0.0495,6
1226,M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815,10
1227,M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
1228,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
1229,M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11
1230,M,0.51,0.405,0.13,0.7175,0.3725,0.158,0.17,9
1231,I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
1232,M,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12
1233,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
1234,F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045,7
1235,F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
1236,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
1237,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
1238,M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
1239,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
1240,M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
1241,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8
1242,M,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6
1243,I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7
1244,M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
1245,F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
1246,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
1247,F,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11
1248,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
1249,F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
1250,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
1251,F,0.62,0.435,0.155,1.012,0.477,0.236,0.275,8
1252,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
1253,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8
1254,M,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10
1255,F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
1256,I,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
1257,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
1258,M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12
1259,M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
1260,I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
1261,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9
1262,M,0.595,0.47,0.155,1.2015,0.492,0.3865,0.265,10
1263,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8
1264,F,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
1265,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8
1266,F,0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
1267,F,0.7,0.575,0.205,1.773,0.605,0.447,0.538,13
1268,I,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8
1269,M,0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
1270,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10
1271,F,0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
1272,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
1273,F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
1274,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
1275,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
1276,M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8
1277,F,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
1278,M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9
1279,F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11
1280,M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
1281,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
1282,I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
1283,F,0.62,0.485,0.165,1.166,0.483,0.238,0.355,13
1284,M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
1285,F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
1286,I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7
1287,I,0.395,0.3,0.09,0.2855,0.1385,0.0625,0.077,5
1288,F,0.58,0.45,0.155,0.93,0.385,0.246,0.265,9
1289,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
1290,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
1291,M,0.6,0.465,0.155,1.262,0.6245,0.2455,0.33,10
1292,I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7
1293,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5
1294,M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9
1295,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
1296,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
1297,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
1298,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
1299,I,0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
1300,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
1301,I,0.58,0.445,0.15,0.8865,0.383,0.209,0.255,11
1302,I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
1303,F,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
1304,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
1305,F,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,12
1306,F,0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
1307,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19
1308,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
1309,F,0.43,0.325,0.12,0.445,0.165,0.0995,0.155,8
1310,I,0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
1311,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
1312,F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
1313,I,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
1314,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
1315,M,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9
1316,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
1317,F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
1318,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
1319,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
1320,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
1321,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
1322,F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
1323,M,0.71,0.56,0.175,1.724,0.566,0.4575,0.4625,13
1324,F,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17
1325,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
1326,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
1327,I,0.435,0.375,0.11,0.4155,0.17,0.076,0.145,8
1328,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8
1329,F,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41,11
1330,F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
1331,M,0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10
1332,M,0.65,0.52,0.17,1.3655,0.6155,0.2885,0.36,11
1333,M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15
1334,F,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,10
1335,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9
1336,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
1337,F,0.505,0.38,0.145,0.651,0.2935,0.19,0.17,12
1338,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
1339,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
1340,I,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8
1341,M,0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
1342,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
1343,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
1344,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
1345,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16
1346,I,0.585,0.475,0.16,1.0505,0.48,0.234,0.285,10
1347,M,0.605,0.475,0.175,1.2525,0.5575,0.3055,0.343,9
1348,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
1349,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.553,12
1350,M,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245,10
1351,I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,8
1352,F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14
1353,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
1354,F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
1355,I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
1356,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
1357,M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
1358,F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
1359,M,0.535,0.405,0.14,0.7315,0.336,0.156,0.19,7
1360,F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
1361,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11
1362,F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
1363,I,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08,7
1364,F,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177,10
1365,M,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
1366,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
1367,M,0.745,0.585,0.215,2.499,0.9265,0.472,0.7,17
1368,I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
1369,F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385,9
1370,F,0.55,0.415,0.135,0.775,0.302,0.179,0.26,23
1371,I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,10
1372,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
1373,F,0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,11
1374,F,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
1375,F,0.6,0.485,0.165,1.1405,0.587,0.2175,0.288,9
1376,M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,11
1377,M,0.67,0.51,0.175,1.5265,0.651,0.4475,0.345,10
1378,F,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
1379,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
1380,F,0.44,0.33,0.115,0.4005,0.143,0.113,0.12,8
1381,F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7
1382,I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7
1383,M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
1384,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
1385,F,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11
1386,I,0.415,0.335,0.1,0.358,0.169,0.067,0.105,7
1387,F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10
1388,F,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10
1389,I,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114,7
1390,F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
1391,F,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,13
1392,F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12
1393,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5
1394,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
1395,I,0.39,0.28,0.09,0.215,0.0845,0.034,0.079,8
1396,F,0.62,0.5,0.15,1.293,0.596,0.3135,0.354,10
1397,F,0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,10
1398,M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
1399,M,0.65,0.525,0.175,1.4715,0.675,0.315,0.399,11
1400,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
1401,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
1402,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
1403,I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6
1404,I,0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
1405,M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13
1406,F,0.75,0.61,0.235,2.5085,1.232,0.519,0.612,14
1407,F,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11
1408,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
1409,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9
1410,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
1411,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
1412,F,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,10
1413,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
1414,F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
1415,M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10
1416,F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12
1417,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
1418,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
1419,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10
1420,I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.173,8
1421,F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
1422,M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9
1423,I,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,8
1424,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
1425,I,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6
1426,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
1427,F,0.675,0.53,0.175,1.4465,0.6775,0.33,0.389,10
1428,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
1429,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12
1430,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
1431,M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
1432,I,0.51,0.395,0.155,0.5395,0.2465,0.1085,0.167,8
1433,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
1434,M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
1435,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
1436,I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
1437,I,0.47,0.355,0.115,0.4155,0.167,0.084,0.139,7
1438,M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,9
1439,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
1440,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
1441,M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
1442,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
1443,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
1444,M,0.34,0.275,0.09,0.2065,0.0725,0.043,0.07,10
1445,I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
1446,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
1447,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11
1448,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
1449,I,0.46,0.355,0.11,0.436,0.1975,0.096,0.125,8
1450,M,0.635,0.48,0.145,1.181,0.665,0.229,0.225,10
1451,F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
1452,F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10
1453,M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
1454,I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
1455,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
1456,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
1457,M,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
1458,I,0.635,0.5,0.18,1.319,0.5485,0.292,0.49,16
1459,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
1460,M,0.63,0.49,0.17,1.1745,0.5255,0.273,0.339,11
1461,M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15
1462,M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
1463,I,0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
1464,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
1465,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
1466,M,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11
1467,M,0.665,0.535,0.225,2.1835,0.7535,0.391,0.885,27
1468,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
1469,M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
1470,I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16
1471,F,0.695,0.55,0.155,1.8495,0.767,0.442,0.4175,10
1472,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
1473,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
1474,F,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,9
1475,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
1476,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
1477,M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9
1478,I,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
1479,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7
1480,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
1481,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8
1482,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
1483,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14
1484,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
1485,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
1486,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
1487,M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16
1488,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16
1489,M,0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
1490,M,0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
1491,F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12
1492,I,0.43,0.325,0.105,0.309,0.119,0.08,0.098,6
1493,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
1494,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
1495,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
1496,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9
1497,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
1498,F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
1499,I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,9
1500,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
1501,F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12
1502,I,0.5,0.395,0.145,0.7865,0.332,0.1815,0.2455,8
1503,M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11
1504,M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
1505,I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
1506,I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
1507,I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,7
1508,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9
1509,F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11
1510,F,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
1511,M,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14
1512,F,0.625,0.525,0.195,1.352,0.4505,0.2445,0.53,13
1513,M,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9
1514,M,0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
1515,F,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
1516,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7
1517,M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11
1518,M,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341,13
1519,M,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8
1520,M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13
1521,I,0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
1522,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9
1523,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
1524,F,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12
1525,F,0.685,0.565,0.175,1.638,0.7775,0.375,0.438,11
1526,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
1527,I,0.575,0.475,0.17,0.967,0.3775,0.284,0.275,13
1528,M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
1529,M,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,11
1530,F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
1531,M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,9
1532,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
1533,I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
1534,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
1535,I,0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,11
1536,F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37,9
1537,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
1538,I,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9
1539,M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
1540,M,0.525,0.4,0.155,0.707,0.282,0.1605,0.225,9
1541,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8
1542,F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10
1543,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
